---------------------------------------------------------------------
SkyTEM Production Line Report
---------------------------------------------------------------------
Line Search Method: Distance only
---------------------------------------------------------------------
Project Number: 
Project Name:   
Client Name:    
---------------------------------------------------------------------

PRODUCTION LINES
      Flight    Line  FlownMis  FlownHel  Production        Mission
 20230310.01  930005     1.523     3.049    00:02:13      L110900.2
 20230310.01  113201     0.905     0.917    00:01:00      L113200.1
 20230310.01  113101     1.128     1.136    00:01:00      L113100.1
 20230310.01  113001     1.478     1.477    00:01:26      L113000.1
 20230310.01  112901     1.518     1.520    00:01:25      L112900.1
 20230310.01  112801     1.332     1.333    00:01:13      L112800.1
 20230310.01  112601     0.480     0.490    00:00:37      L112600.1
 20230310.01  112301     0.781     0.821    00:00:55      L112300.2
 20230310.01  112201     0.991     0.998    00:01:04      L112200.2
 20230310.01  112004     1.762     1.791    00:01:25      L112000.2
 20230310.01  111905     2.310     2.293    00:02:04      L111900.1
 20230310.01  111803     1.479     1.478    00:01:09      L111800.1
 20230310.01  111704     1.627     1.630    00:01:33      L111700.1
 20230310.01  111604     1.501     1.487    00:01:11      L111600.2
 20230310.01  111503     1.405     1.416    00:01:26      L111500.1
 20230310.01  111004     0.887     0.882    00:00:49      L111000.2
 20230310.01  111102     0.593     0.592    00:00:38      L111100.1
 20230310.01  111203     0.533     0.560    00:00:34      L111200.1
 20230310.01  111304     0.503     0.518    00:00:33      L111300.1
 20230310.01  111403     0.492     0.498    00:00:29      L111400.1
 20230310.01  112103     0.640     0.632    00:00:31      L112100.3
 20230310.01  112502     0.848     0.874    00:00:50      L112500.2
 20230310.01  112602     0.845     0.845    00:00:49      L112600.2
 20230310.01  112703     1.824     1.842    00:01:35      L112700.2
 20230310.01  112802     1.082     1.088    00:01:05      L112800.2
 20230310.01  112903     0.746     0.738    00:00:40      L112900.2
 20230310.01  113003     0.684     0.680    00:00:40      L113000.2
 20230310.01  113102     0.722     0.712    00:00:37      L113100.2
 20230310.01  113202     0.591     0.581    00:00:35      L113200.2
 20230310.01  113302     0.594     0.610    00:00:36      L113300.1
 20230310.01  113402     0.635     0.625    00:00:37      L113400.1
 20230310.01  113502     0.598     0.592    00:00:34      L113500.1
 20230310.01  113602     1.338     1.340    00:01:06      L113600.1
 20230310.01  113702     1.425     1.415    00:01:07      L113700.1
 20230310.01  113802     0.563     0.545    00:00:31      L113800.1
 20230310.01  113903     0.541     0.537    00:00:29      L113900.2
 20230310.01  115404     0.445     0.426    00:00:26      L115400.1
 20230310.01  114702     1.596     1.662    00:01:24      L114700.1
 20230310.01  114603     2.267     2.262    00:02:04      L114600.2
 20230310.01  114503     1.972     1.964    00:01:32      L114500.3
 20230310.01  114403     1.899     1.990    00:01:51      L114400.3
 20230310.01  114303     1.970     2.029    00:01:35      L114300.3
 20230310.01  114202     1.548     1.542    00:01:17      L114200.3
 20230310.01  114101     1.643     1.645    00:01:16      L114100.3
 20230310.01  114002     1.485     1.464    00:01:12      L114000.3
 20230310.01  113902     1.511     1.568    00:01:18      L113900.3
 20230310.01  112402     0.722     0.749    00:00:46      L112400.3
 20230310.01  112203     1.152     1.121    00:01:04      L112200.4
 20230310.01  111605     1.820     1.819    00:02:03      L111600.3
 20230310.01  111504     2.036     2.063    00:01:47      L111500.2
 20230310.01  111404     1.903     1.913    00:01:55      L111400.2
 20230310.01  111305     2.047     2.050    00:01:44      L111300.2
 20230310.01  111204     1.972     1.980    00:01:51      L111200.2
 20230310.01  111103     2.231     2.241    00:01:49      L111100.2
 20230310.01  111005     1.935     1.941    00:01:45      L111000.3
 20230310.01  110904     2.415     2.418    00:01:58      L110900.3
 20230310.01  110804     1.543     1.540    00:01:23      L110800.3
