---------------------------------------------------------------------
SkyTEM Production Line Report
---------------------------------------------------------------------
Line Search Method: Distance only
---------------------------------------------------------------------
Project Number: 
Project Name:   
Client Name:    
---------------------------------------------------------------------

PRODUCTION LINES
      Flight    Line  FlownMis  FlownHel  Production        Mission
 20230321.01  930018     0.000     2.156    00:01:25              *
 20230321.01  214701     7.404     7.622    00:06:42        L214700
 20230321.01  214801     7.373     7.530    00:05:55        L214800
 20230321.01  214901     6.698     6.812    00:05:41        L214900
 20230321.01  215001     1.755     1.729    00:01:23        L215000
 20230321.01  215101     1.517     1.524    00:01:06      L215100.1
 20230321.01  215201     1.722     1.772    00:01:26      L215200.1
 20230321.01  215202     1.338     1.365    00:00:59      L215200.1
 20230321.01  215501     3.072     3.149    00:02:31      L215500.1
 20230321.01  215401     0.890     0.880    00:00:49      L215400.1
 20230321.01  215301     0.856     0.861    00:00:47      L215300.1
 20230321.01  215203     0.886     0.874    00:00:45      L215200.1
 20230321.01  215102     1.116     1.119    00:00:54      L215100.1
 20230321.01  215002     1.768     1.887    00:01:42        L215000
 20230321.01  215204     1.556     1.695    00:01:31      L215200.0
 20230321.01  215302     1.472     1.529    00:01:28      L215300.0
 20230321.01  215502     0.517     0.477    00:00:27      L215400.0
 20230321.01  215503     0.975     1.061    00:01:03      L215500.0
 20230321.01  215701     0.899     0.882    00:00:45      L215700.0
 20230321.01  215601     0.824     0.806    00:00:51      L215600.0
 20230321.01  214902     2.890     2.905    00:02:30        L214900
 20230321.01  215602     2.650     2.642    00:02:07      L215600.1
 20230321.01  215702     2.518     2.519    00:01:56      L215700.1
 20230321.01  215801     2.091     2.089    00:01:34      L215800.0
 20230321.01  215901     2.128     2.136    00:01:43      L215900.0
 20230321.01  216001     1.601     1.579    00:01:06      L216000.0
 20230321.01  216101     1.523     1.540    00:01:13      L216000.0
 20230321.01  216201     0.195     0.167    00:00:10      L216200.0
 20230321.01  216301     0.212     0.222    00:00:16      L216300.0
 20230321.01  216401     0.242     0.235    00:00:17      L216400.1
 20230321.01  216501     0.227     0.237    00:00:18      L216500.1
 20230321.01  216701     0.322     0.331    00:00:22      L216700.1
 20230321.01  216801     0.663     0.650    00:00:39      L216800.1
 20230321.01  216802     0.675     0.669    00:00:35      L216800.1
 20230321.01  216402     0.782     0.832    00:00:44      L216400.0
 20230321.01  216601     0.919     0.941    00:00:42      L216600.0
 20230321.01  216702     0.983     0.953    00:00:44      L216700.0
 20230321.01  216803     1.066     1.049    00:00:52      L216800.0
 20230321.01  217101     0.904     0.878    00:00:39      L217100.0
 20230321.01  216901     0.740     0.750    00:00:39      L216900.0
 20230321.01  217001     1.051     1.021    00:00:55      L217000.0
 20230321.01  217102     0.736     0.723    00:00:32      L217100.0
 20230321.01  217201     1.497     1.478    00:01:17      L217200.0
 20230321.01  217301     0.704     0.676    00:00:35      L217300.0
 20230321.01  217401     0.718     0.688    00:00:34      L217400.0
 20230321.01  217501     0.732     0.723    00:00:36      L217500.0
 20230321.01  307601     0.726     0.713    00:00:33      L307600.0
 20230321.01  307701     1.236     1.244    00:01:00      L307700.0
 20230321.01  307901     0.901     0.883    00:00:46      L307900.0
 20230321.01  308001     1.501     1.485    00:01:04      L308000.0
 20230321.01  308101     1.548     1.540    00:01:22      L308100.0
 20230321.01  308201     1.313     1.357    00:01:01      L308200.0
 20230321.01  308301     1.368     1.397    00:01:17      L308300.0
 20230321.01  308401     1.059     1.040    00:00:46      L308400.0
 20230321.01  308501     1.059     1.032    00:00:54      L308500.0
 20230321.01  308601     1.312     1.532    00:01:17      L308600.0
 20230321.01  308701     1.130     1.114    00:01:04      L308700.0
 20230321.01  308801     1.185     1.168    00:00:54      L308800.0
 20230321.01  308901     1.183     1.166    00:01:10      L308900.0
 20230321.01  309001     1.308     1.373    00:01:10      L309000.0
 20230321.01  309101     1.276     1.278    00:01:08      L309100.0
 20230321.01  309201     1.210     1.191    00:00:55      L309200.0
 20230321.01  309301     1.181     1.144    00:01:00      L309300.0
 20230321.01  309401     1.078     1.062    00:00:48      L309400.0
 20230321.01  309501     1.123     1.114    00:01:03      L309500.0
 20230321.01  309601     1.137     1.115    00:00:51      L309600.0
 20230321.01  309701     0.989     1.025    00:00:56      L309700.0
 20230321.01  309801     1.011     1.006    00:00:43      L309800.0
 20230321.01  309901     0.872     0.853    00:00:43      L309900.0
 20230321.01  310001     0.912     0.898    00:00:46      L310000.0
 20230321.01  310101     0.662     0.646    00:00:36      L310100.0
 20230321.01  310201     0.795     0.790    00:00:38      L310200.0
 20230321.01  310401     0.933     0.915    00:00:52      L310300.0
 20230321.01  310402     0.914     0.900    00:00:43      L310400.0
 20230321.01  310501     1.055     1.037    00:00:56      L310500.0
 20230321.01  310601     1.070     1.074    00:00:49      L310600.0
 20230321.01  305401     3.320     3.323    00:02:25      L305400.0
 20230321.01  305301     3.317     3.310    00:02:36      L305300.0
 20230321.01  305201     3.155     3.175    00:02:00      L305200.0
 20230321.01  305101     2.881     2.895    00:02:18      L305100.0
 20230321.01  305001     3.079     3.042    00:02:04      L305000.0
 20230321.01  304901     2.755     2.771    00:02:20      L304900.0
 20230321.01  304801     2.720     2.709    00:01:52      L304800.0
 20230321.01  304701     2.027     2.015    00:01:28      L304700.0
 20230321.01  304601     2.568     2.562    00:01:35      L304600.0
 20230321.01  304501     1.087     1.077    00:00:50      L304500.0
 20230321.01  304401     0.608     0.585    00:00:28      L304400.0
 20230321.01  304301     0.487     0.475    00:00:28      L304300.0
 20230321.01  305501     4.153     4.188    00:03:22      L305500.0
 20230321.01  305601     4.153     4.278    00:02:53      L305600.0
 20230321.01  920018     0.152     0.717    00:00:44      L309300.1
 20230321.01  283163     0.000     0.803    00:00:33              *
 20230321.01  283164     0.315     0.606    00:00:31      L216400.1
 20230321.01  283165     0.849     0.900    00:00:45      L216300.0
 20230321.01  283166     1.563     1.635    00:01:15      L216200.0
 20230321.01  383001     0.270     0.379    00:00:20      L307700.0
 20230321.01  383002     0.182     0.479    00:00:24      L308000.0
 20230321.01  383003     1.003     1.061    00:00:43      L304100.0
 20230321.01  383004     0.733     0.730    00:00:33      L304200.0
                       145.832   151.174    02:02:48

---------------------------------------------------------------------

FLIGHTS
      Flight  FlownMis  FlownHel      Flying  Production       Ferry
 20230321.01   145.832   151.174    02:48:38    02:02:48    00:45:50
               145.832   151.174    02:48:38    02:02:48    00:45:50

---------------------------------------------------------------------

DATES
     Date     FlownMis  FlownHel      Flying  Production       Ferry
 20230321      145.832   151.174    02:48:38    02:02:48    00:45:50
               145.832   151.174    02:48:38    02:02:48    00:45:50
