      Flight    Line  FlownMis  FlownHel  Production        Mission
 20230310.02  706701     0.858     0.861    00:01:02        L606700
 20230310.02  706601     0.845     0.838    00:00:44        L606600
 20230310.02  706501     0.704     0.692    00:00:45        L606500
 20230310.02  706401     0.808     0.792    00:00:40        L606400
 20230310.02  706301     0.689     0.679    00:00:48        L606300
 20230310.02  704401     0.974     0.975    00:00:48      L604400.0
 20230310.02  703902     0.789     0.806    00:00:51      L603900.0
 20230310.02  703802     0.694     0.669    00:00:34      L603800.0
 20230310.02  703702     0.500     0.499    00:00:34      L603700.0
 20230310.02  703602     0.599     0.586    00:00:30      L603600.0
 20230310.02  703301     1.246     1.235    00:01:01      L603300.0
 20230310.02  703401     1.489     1.499    00:01:36      L603400.1
 20230310.02  703501     1.713     1.708    00:01:24      L603500.1
 20230310.02  703601     1.022     1.031    00:01:03      L603600.1
 20230310.02  703701     1.056     1.058    00:00:51      L603700.1
 20230310.02  703801     1.535     1.533    00:01:28      L603800.1
 20230310.02  703901     1.546     1.548    00:01:10      L603900.1
 20230310.02  704001     1.697     1.682    00:01:37      L604000.1
 20230310.02  704101     1.731     1.723    00:01:17      L604100.1
 20230310.02  704201     1.757     1.777    00:01:43      L604200.1
 20230310.02  704301     1.546     1.544    00:01:06      L604300.1
 20230310.02  703201     1.234     1.218    00:01:01      L603200.0
 20230310.02  703101     0.575     0.562    00:00:37      L603100.0
 20230310.02  920006     0.000     0.931    00:00:42              *
 20230310.02  180088     0.698     0.679    00:00:31      L117700.1
 20230310.02  780086     0.213     0.205    00:00:11        L605300
 20230310.02  780075     0.080     1.712    00:01:43        L605200
 20230310.02  780083     1.785     1.949    00:01:57        L605100
 20230310.02  780084     1.123     1.135    00:00:56        L605200
 20230310.02  780078     0.041     2.861    00:02:40        L605300
 20230310.02  780079     0.105     2.711    00:02:34        L605500
 20230310.02  780076     0.003     0.000    00:00:01      L605700.0
 20230310.02  780063     0.247     0.501    00:00:31        L606500
 20230310.02  780077     0.000     1.369    00:01:11              *
 20230310.02  780064     0.000     0.628    00:00:34              *
 20230310.02  780087     0.275     1.508    00:01:18        L606900
 20230310.02  780065     0.293     0.617    00:00:26      L606100.0
